SMILES,ChemBank_Name,GROUP,idCpd,canvasUID,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
CC(C)CC(=O)CC1(C)CCC(c2ccoc2)O1,ACon1_002142,NP,8294,8294,0.6666666666666666,250.33799999999997,2,10,0,10,10,0.0,1.0,1.0,0.5555555555555556,2,2
CC(=O)OC1C(O)C(C)OC(OC2C3C=COC(OC4OC(CO)C(O)C(O)C4O)C3C3(CO)OC23)C1OC(=O)/C=C/c1ccc(O)cc1,ACon1_002143,NP,8295,8295,0.625,696.6550000000003,6,32,2,30,28,0.14285714285714285,1.5,1.1428571428571428,0.5714285714285714,4,16
CC1OC(OC23C(=O)CC(C)(O)CC2(O)C=CC2=C3C(=O)c3ccc(C4CC(OC5CCC(OC6CC(O)C(O)C(C)O6)C(C)O5)C(O)C(C)O4)c(O)c3C2=O)CCC1O,ACon1_002144,NP,8296,8296,0.6976744186046512,844.9040000000003,8,48,3,45,42,0.14285714285714285,1.6,1.1428571428571428,0.7,5,17
COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1(O)CC(OC(=O)/C=C/c1ccc(O)cc1)C2(C)O,ACon1_002145,NP,8297,8297,0.5384615384615384,568.5280000000004,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.525,3,10
COC(=O)CCCCCCCCC(=O)[O-],ACon1_002146,NP,8298,8298,0.8181818181818182,215.26899999999995,0,,,,,,,,,,0
COc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(OC(C)=O)C2=O,ACon1_002147,NP,8299,8299,0.2222222222222222,360.31800000000004,3,18,1,17,16,0.125,1.5,1.125,0.6153846153846154,2,2
COC(=O)C12C([O-])=C(C)C(=O)C1(C)C(C)=CC1C3(CO)CCC(OC(C)=O)C(C)(C)C3CCC12C,ACon1_002148,NP,8300,8300,0.75,487.6130000000004,4,23,3,20,17,0.35294117647058826,4.0,1.3529411764705883,0.4857142857142857,1,7
CC(C)CC(=O)OC1c2c(ccc3ccc(=O)oc23)OC1C(C)(C)OC(=O)CC(C)C,ACon1_002149,NP,8301,8301,0.5416666666666666,430.4970000000003,3,17,2,15,13,0.3076923076923077,3.0,1.3076923076923077,0.41935483870967744,1,2
CC12C=CC3(CCC4C(C)(CO)CCCC4(C)C3CC1)C2,ACon1_002150,NP,8302,8302,0.9,288.47499999999997,4,23,4,19,16,0.5,4.0,1.4375,0.7619047619047619,1,6
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,ACon1_002151,NP,8303,8303,0.7619047619047619,360.45000000000016,4,23,3,20,17,0.35294117647058826,4.0,1.3529411764705883,0.6538461538461539,1,6
CC#CC#C/C=C1\C=CC2(OC=CC2OC(=O)C=C(C)C)O1,ACon1_002152,NP,8304,8304,0.2777777777777778,296.322,2,10,0,10,9,0.0,2.0,1.1111111111111112,0.4090909090909091,1,2
COc1cc(O)c(O)c(OC)c1C(=O)/C=C/c1ccccc1,ACon1_002153,NP,8305,8305,0.11764705882352941,300.31,2,12,0,12,12,0.0,1.0,1.0,0.5454545454545454,2,0
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,ACon1_002154,NP,8306,8306,0.8095238095238095,330.4680000000001,4,23,3,20,17,0.35294117647058826,4.0,1.3529411764705883,0.7083333333333334,1,6
COc1ccc2ccc(=O)oc2c1CC=C(C)C,ACon1_002155,NP,8307,8307,0.26666666666666666,244.28999999999994,2,12,1,11,10,0.2,2.0,1.2,0.5555555555555556,1,0
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2O,ACon1_002156,NP,8308,8308,1.0,292.46299999999997,4,23,3,20,17,0.35294117647058826,4.0,1.3529411764705883,0.8095238095238095,1,8
