SMILES,ChemBank_Name,GROUP,idCpd,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
N#CC1=C(N)Sc2oc(-c3ccccc3)cc(=O)c2C1c1ccccc1Cl,TimTec1_001190,CC,4526,0.047619047619047616,392.86700000000013,4,24,1,23,22,0.09090909090909091,1.3333333333333333,1.0909090909090908,0.8148148148148148,3,1
COC(=O)C1CNc2ccccc2C1=O,TimTec1_001191,CC,4527,0.2727272727272727,205.213,2,12,1,11,10,0.2,2.0,1.2,0.6666666666666666,1,1
COC(=O)C1=C(N)OC(OC)=C(C#N)C1c1ccncc1,TimTec1_001192,CC,4528,0.21428571428571427,287.2750000000001,2,12,0,12,12,0.0,1.0,1.0,0.5714285714285714,2,1
CC1=CC(C)(C)CC(=S)N1c1cccc(F)c1,TimTec1_001193,CC,4529,0.35714285714285715,249.354,2,12,0,12,12,0.0,1.0,1.0,0.7058823529411765,2,0
N#CC1=C(N)SC(c2cccs2)C(C#N)=C1N,TimTec1_001194,CC,4530,0.09090909090909091,260.34700000000004,2,11,0,11,11,0.0,1.0,1.0,0.6470588235294118,2,1
O=C1CNC(=S)N1c1ccccc1,TimTec1_001195,CC,4531,0.1111111111111111,192.24300000000002,2,11,0,11,11,0.0,1.0,1.0,0.8461538461538461,2,0
Cc1c2cc(-c3cccs3)sc2nc2c(O)cc(=O)[nH]c12,TimTec1_001196,CC,4532,0.06666666666666667,314.391,4,22,2,20,18,0.2222222222222222,2.0,1.2222222222222223,0.8571428571428571,2,0
CCOC(=O)c1nc2c([nH]1)OC(N)=C(C#N)C2c1ccncc1,TimTec1_001197,CC,4533,0.2,311.301,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.6521739130434783,2,1
N#CC(Sc1nc(-c2cccs2)cc(-c2ccccc2)c1C(=O)[O-])c1ccc(Cl)cc1,TimTec1_001198,CC,4534,0.041666666666666664,461.97500000000014,4,23,0,23,23,0.0,1.0,1.0,0.7419354838709677,4,1
COC(=O)C1=C(C)NC(SCC(=O)c2cccs2)=C(C#N)C1c1ccc2c(c1)OCCO2,TimTec1_001199,CC,4535,0.2608695652173913,468.55600000000027,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.65625,3,1
COC(=O)C1=C(N)OC(=C\C#N)/C(=C(\[O-])OC)C1c1ccc(OC)c(OC)c1,TimTec1_001200,CC,4536,0.2631578947368421,387.36800000000017,2,12,0,12,12,0.0,1.0,1.0,0.42857142857142855,2,1
O=c1cc(O)c2sc3nc(-c4cccnc4)c4c(c3c2[nH]1)CCCC4,TimTec1_001201,CC,4537,0.21052631578947367,349.4150000000002,5,29,3,26,23,0.2608695652173913,2.5,1.2608695652173914,0.92,2,0
