SMILES,ChemBank_Name,GROUP,idCpd,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
CC(C)c1ccc(NN2C(C(O)C(c3ccccc3)c3ccccc3)C=CC3C(=O)N(c4ccccc4)C(=O)C32)cc1,BCB01_000033,DC/DC',8662,0.2222222222222222,557.6940000000003,6,35,1,34,33,0.06060606060606061,1.2,1.0606060606060606,0.7857142857142857,5,4
CCCCC(O)C1C=CC2C(=O)NC(=O)C2N1Nc1ccc(Cl)cc1Cl,BCB01_000034,DC/DC',8663,0.4444444444444444,398.2900000000001,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.5769230769230769,2,4
C/C=C/C(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc(C(C)C)cc1,BCB01_000035,DC/DC',8664,0.3076923076923077,431.53600000000023,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.65625,3,4
CCCCCCCCCCC(O)C1C=CC2C(=O)NC(=O)C2N1Nc1ccc(Cl)cc1Cl,BCB01_000036,DC/DC',8665,0.5833333333333334,482.4520000000002,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.46875,2,4
CCC(CC)C(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc(C(C)C)cc1,BCB01_000037,DC/DC',8666,0.42857142857142855,461.6060000000002,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.6176470588235294,3,4
O=C1NC(=O)C2C1C=CC(C(O)c1ccc(F)cc1)N2Nc1ccc(Cl)cc1Cl,BCB01_000038,DC/DC',8667,0.2,436.27000000000015,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.7241379310344828,3,4
CC(C)c1ccc(NN2C(C(O)C(C)C)C=CC3C(=O)N(c4ccccc4)C(=O)C32)cc1,BCB01_000039,DC/DC',8668,0.38461538461538464,433.5520000000002,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.65625,3,4
COc1ccc(C(O)C2C=CC3C(=O)NC(=O)C3N2Nc2ccc(Cl)cc2Cl)c2ccccc12,BCB01_000040,DC/DC',8669,0.2,498.3660000000002,5,29,2,27,25,0.16,1.6666666666666667,1.16,0.7352941176470589,3,4
COc1cc(NN2C(C(O)c3cc(OC)c(OC)c(OC)c3)C=CC3C(=O)N(C)C(=O)C32)cc(OC)c1OC,BCB01_000041,DC/DC',8670,0.4074074074074074,543.5730000000003,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.5384615384615384,3,4
O=C1C2C=CC(C(O)c3ccc4c(c3)OCO4)N(Nc3ccccc3)C2C(=O)N1c1ccccc1,BCB01_000042,DC/DC',8671,0.18518518518518517,469.49700000000024,6,34,2,32,30,0.13333333333333333,1.5,1.1333333333333333,0.8571428571428571,4,4
