SMILES,Molecular weight,Num chiral centers,ChiralCenterCount,Gram-negative,canvasUID,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,337.354,1,1,0,620,0.5,337.35100000000017,3,17,0,17,17,0.0,1.0,1.0,0.7083333333333334,3,1
CC(=O)NCC1CN(c2ccc(N3CC[NH+](Cc4coc([N+](=O)[O-])c4)CC3)c(F)c2)C(=O)O1,461.454,1,1,0,621,0.42857142857142855,462.4580000000003,4,22,0,22,22,0.0,1.0,1.0,0.6666666666666666,4,1
Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-],435.889,3,3,0,622,0.3684210526315789,434.8810000000002,4,20,1,19,18,0.1111111111111111,1.3333333333333333,1.1111111111111112,0.6206896551724138,3,3
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-],470.334,3,3,0,623,0.3684210526315789,469.32600000000014,4,20,1,19,18,0.1111111111111111,1.3333333333333333,1.1111111111111112,0.6,3,3
COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-],380.423,3,3,0,624,0.47058823529411764,379.4140000000001,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.5,2,3
CCOc1ccc2ccccc2c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-],414.484,3,3,0,625,0.38095238095238093,413.4750000000002,4,21,2,19,17,0.23529411764705882,2.0,1.2352941176470589,0.5862068965517241,2,3
Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-],401.444,3,3,0,626,0.3684210526315789,400.43600000000015,4,20,1,19,18,0.1111111111111111,1.3333333333333333,1.1111111111111112,0.6428571428571429,3,3
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)[O-],334.397,3,3,0,627,0.4375,333.38900000000007,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.5652173913043478,2,3
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)[O-],350.396,3,3,0,628,0.4375,349.38800000000003,3,15,1,14,13,0.15384615384615385,1.5,1.1538461538461537,0.5416666666666666,2,3
COC1C=COC2(C)Oc3c(C)c(O)c4c(=O)c(c5oc6cc(N7CC[NH+](CC(C)C)CC7)cc([O-])c6nc-5c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,941.098,9,9,0,629,0.5098039215686274,941.0879999999999,7,59,9,49,44,0.4090909090909091,3.5,1.3409090909090908,0.6470588235294118,2,9
COC(=O)C1C(C)C(OC)C=COC2(C)Oc3c(C)c([O-])c4c(O)c(c(/C=N/N5CC[NH+](C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C1C,822.961,9,0,0,630,0.5348837209302325,822.953,6,71,28,39,36,1.5555555555555556,2.5,1.9722222222222223,0.6101694915254238,2,9
CC[NH+](CC)CCS(=O)(=O)C1CCN2C(=O)c3coc(n3)CC(=O)CC(O)C=C(C)C=CCNC(=O)C=CC(C)C(C(C)C)OC(=O)C12,690.863,5,4,0,631,0.6176470588235294,691.8679999999999,3,33,3,30,28,0.21428571428571427,3.0,1.1785714285714286,0.5833333333333334,1,5
CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)C(CSC3C[NH+]4CCC3CC4)CN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O,1022.24,9,0,0,632,0.5283018867924528,1023.247,9,66,11,55,52,0.4230769230769231,1.6,1.2692307692307692,0.7123287671232876,5,9
CC(C)CC1NC(=O)C(CCC[NH3+])NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C(CCC[NH3+])NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O,1141.48,10,10,0,633,0.6333333333333333,1143.4859999999992,5,52,2,50,48,0.08333333333333333,1.6666666666666667,1.0833333333333333,0.5853658536585366,3,10
[O-]c1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,289.547,0,0,0,634,0.0,288.53700000000003,2,12,0,12,12,0.0,1.0,1.0,0.7058823529411765,2,0
CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)/C1=C(/CCC=C(C)C)C(=O)[O-],516.725,10,10,0,635,0.8064516129032258,515.7110000000004,4,23,3,20,17,0.35294117647058826,4.0,1.3529411764705883,0.4594594594594595,1,10
